	_id	aproxlinkstart	link	ltt	travel_id	trip_id	headway
1	5c76ed6abd8143570f3c4de0	2017-07-01 05:32:52	(3876, 3877)	24.25312660205509	6967	2005-10-0	5506
2	5c76ed6abd8143570f3c4de1	2017-07-01 06:30:02	(3876, 3877)	46.949856613617044	6968	2005-10-0	3430
3	5c76ed6abd8143570f3c4de2	2017-07-01 07:24:35	(3876, 3877)	61.491067630542716	6969	2005-10-0	3273
4	5c76ed6abd8143570f3c4de3	2017-07-01 07:35:31	(3876, 3877)	49.42750554951965	6970	2005-10-0	656
5	5c76ed6abd8143570f3c4de4	2017-07-01 08:12:00	(3876, 3877)	79.54091454529146	6971	2005-10-0	2189
6	5c76ed6abd8143570f3c4de5	2017-07-01 08:14:14	(3876, 3877)	68.25289698446409	6972	2005-10-0	134
8	5c76ed6abd8143570f3c4de7	2017-07-01 08:47:14	(3876, 3877)	24.75271567524669	6974	2005-10-0	1342
9	5c76ed6abd8143570f3c4de8	2017-07-01 09:04:15	(3876, 3877)	82.64169093244254	6975	2005-10-0	1021
10	5c76ed6abd8143570f3c4de9	2017-07-01 09:13:06	(3876, 3877)	62.52343079821753	6976	2005-10-0	531
11	5c76ed6abd8143570f3c4dea	2017-07-01 09:46:24	(3876, 3877)	87.20039374769021	6977	2005-10-0	1998
12	5c76ed6abd8143570f3c4deb	2017-07-01 09:53:24	(3876, 3877)	51.26094543248769	6978	2005-10-0	420
13	5c76ed6abd8143570f3c4dec	2017-07-01 09:59:29	(3876, 3877)	70.0024231126481	6979	2005-10-0	365
14	5c76ed6abd8143570f3c4ded	2017-07-01 10:24:27	(3876, 3877)	60.21374623716349	6980	2005-10-0	1498
15	5c76ed6abd8143570f3c4dee	2017-07-01 11:15:49	(3876, 3877)	96.42347496891512	6981	2005-10-0	3082
16	5c76ed6abd8143570f3c4def	2017-07-01 12:11:05	(3876, 3877)	73.20698847120502	6982	2005-10-0	3316
17	5c76ed6abd8143570f3c4df0	2017-07-01 12:51:12	(3876, 3877)	97.96769954774402	6983	2005-10-0	2407
18	5c76ed6abd8143570f3c4df1	2017-07-01 13:59:00	(3876, 3877)	63.22874288493432	6984	2005-10-0	4068
19	5c76ed6abd8143570f3c4df2	2017-07-01 14:15:42	(3876, 3877)	98.7520870084918	6985	2005-10-0	1002
20	5c76ed6abd8143570f3c4df3	2017-07-01 14:25:56	(3876, 3877)	83.13873387238095	6986	2005-10-0	614
21	5c76ed6abd8143570f3c4df4	2017-07-01 15:00:30	(3876, 3877)	23.680586399099138	6987	2005-10-0	2074
22	5c76ed6abd8143570f3c4df5	2017-07-01 15:45:20	(3876, 3877)	88.97118047428103	6988	2005-10-0	2690
23	5c76ed6abd8143570f3c4df6	2017-07-01 16:00:05	(3876, 3877)	33.72221112696968	6989	2005-10-0	885
0	5c76ed6abd8143570f3c4dfa	2017-07-02 07:06:29	(3876, 3877)	54.62803377809496	6993	2005-10-0	0
2	5c76ed6abd8143570f3c4dfc	2017-07-02 09:47:22	(3876, 3877)	106.66374867769599	6995	2005-10-0	8887
3	5c76ed6abd8143570f3c4dfd	2017-07-02 11:52:11	(3876, 3877)	72.25105839793366	6996	2005-10-0	7489
4	5c76ed6abd8143570f3c4dfe	2017-07-02 17:22:52	(3876, 3877)	47.60016751612528	6997	2005-10-0	19841
5	5c76ed6abd8143570f3c4dff	2017-07-02 20:32:11	(3876, 3877)	76.61193493878568	6998	2005-10-0	11359
